title,brand,category,price,date,rating,num_of_ratings,link
"XL Air Fryer Accessories-Air Fryer Three Stackable Racks for Gowise Phillips USA Cozyna Ninjia Airfryer,Air Fryer Rack Stainless Steel Fit all 4.2QT - 5.8QT air fryer,Oven,Pressure Cooker",Brand: RAMLLY,air fryers,"550
                         
                          .",09/01/2023,5.0 out of 5 stars,1 rating,https://www.amazon.eg/-/en/Accessories-Air-Stackable-Phillips-Airfryer-Stainless/dp/B0893RB4BH/ref=sr_1_16?qid=1673219321&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-16
"TEFAL Easy Fry Digital Interface 4.2 L Oil-less Fryer, Silver, Metal/Stainless Steel, EY401D27 International warranty",Brand: Tefal,air fryers,"4,427
                         
                          .",09/01/2023,4.2 out of 5 stars,170 ratings,https://www.amazon.eg/-/en/Interface-Oil-less-Stainless-EY401D27-International/dp/B07T9FXVXS/ref=sr_1_17?qid=1673219323&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-17
"Philips Airfryer Essential with Rapid Air Technology for Fry/Bake/Grill/Roast/Reheat, 0.8kg/4.1L Capacity, White and Rose Gold,International warranty - HD9200/21",Brand: PHILIPS,air fryers,"4,390
                         
                          .",09/01/2023,4.5 out of 5 stars,158 ratings,https://www.amazon.eg/-/en/Airfryer-Essential-Technology-Capacity-International/dp/B08YQ869V9/ref=sr_1_18?qid=1673219323&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-18
Air Fryer - 4 Liters - AF 300 - Black - Black and Decker,Brand: Black & Decker,air fryers,"4,100
                         
                          .",09/01/2023,4.1 out of 5 stars,7 ratings,https://www.amazon.eg/-/en/Air-Fryer-Liters-Black-Decker/dp/B09PJLNPW8/ref=sr_1_19?qid=1673219323&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-19
"Xiaomi Mi Smart Air Fryer 3.5L – 100+ in-app recipes, automatic heat and time control, 24h Timer, Multiple modes Fry Ferment Bake Defrost [Official UK] White, BHR4857HK",Brand: Xiaomi,air fryers,"4,350
                        
                         .",09/01/2023,4.6 out of 5 stars,194 ratings,https://www.amazon.eg/-/en/Xiaomi-Smart-Fryer-3-5L-app/dp/B098BRGZW1/ref=sr_1_20?qid=1673219323&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-20
"KENWOOD Airfryer Large 5.5Litre/2.4Kg Capacity, - HFP50.000 - Black",Brand: KENWOOD,air fryers,"5,840
                         
                          .",09/01/2023,4.3 out of 5 stars,50 ratings,https://www.amazon.eg/-/en/KENWOOD-Airfryer-Large-5-5Litre-Capacity/dp/B08J7ZS717/ref=sr_1_21?qid=1673219323&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-21
"Philips HD9654 Avance Collection Airfryer XXL - Black,international warranty",Brand: PHILIPS,air fryers,"10,055
                        
                         .",09/01/2023,4.1 out of 5 stars,23 ratings,https://www.amazon.eg/-/en/Philips-HD9654-Avance-Collection-Airfryer/dp/B0792H8HT7/ref=sr_1_22?qid=1673219323&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-22
Philips Avance Collection 1.4 Kg Airfryer XXL - HD9650/91 ( International warranty ),Brand: PHILIPS,air fryers,"11,111
                         
                          .",09/01/2023,4.2 out of 5 stars,16 ratings,https://www.amazon.eg/-/en/Philips-Avance-Collection-Airfryer-International/dp/B07FSR8LYK/ref=sr_1_23?qid=1673219323&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-23
"TEFAL Easy Fry Oil-less Fryer XXL, 1800 Watts, Black / Silver, Plastic / Stainless Steel, EY701D28, 1 year warranty",Brand: Tefal,air fryers,"6,500
                         
                          .",09/01/2023,4.2 out of 5 stars,22 ratings,https://www.amazon.eg/-/en/Oil-less-Plastic-Stainless-EY701D28-warranty/dp/B09BFC8R33/ref=sr_1_24?qid=1673219323&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-24
Black and decker air fryer AF575-B5,Brand: Black & Decker,air fryers,"6,249
                         
                          .",09/01/2023,4.6 out of 5 stars,3 ratings,https://www.amazon.eg/-/en/Black-decker-air-fryer-AF575-B5/dp/B0BB2Q9DQR/ref=sr_1_25?qid=1673219323&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-25
Sokany Sk-8014 Oil-Free Healthy Air Frying Pan with Digital Touch Screen - 8L,Brand: Generic,air fryers,"4,655
                         
                          .",09/01/2023,5.0 out of 5 stars,2 ratings,https://www.amazon.eg/-/en/Sokany-Sk-8014-Oil-Free-Healthy-Digital/dp/B0BLZTLLNY/ref=sr_1_26?qid=1673219323&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-26
PHILIPS AIRFRYER XL HD9260 - International warranty,Brand: PHILIPS,air fryers,"7,150
                         
                          .",09/01/2023,4.4 out of 5 stars,75 ratings,https://www.amazon.eg/-/en/PHILIPS-AIRFRYER-XL-HD9260-International/dp/B083HCL3WF/ref=sr_1_27?qid=1673219323&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-27
"Tefal Deep Fryer, 4L - EY2018",Brand: Tefal,air fryers,"3,850
                         
                          .",09/01/2023,4.1 out of 5 stars,13 ratings,https://www.amazon.eg/-/en/Tefal-Deep-Fryer-4L-EY2018/dp/B0839P9LN3/ref=sr_1_28?qid=1673219323&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-28
"Philips Essential Air Fryer XL 1.2KG, 6.2L Capacity, Digital Screen,Black - HD9270/90 (International Warranty)",Brand: PHILIPS,air fryers,"7,760
                         
                          .",09/01/2023,4.6 out of 5 stars,"5,050 ratings",https://www.amazon.eg/-/en/Philips-Essential-Capacity-Digital-Screen/dp/B08WJBVM5G/ref=sr_1_29?qid=1673219323&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-29
"KENWOOD Digital Twin Air Fryer 1.7KG+1.7KG 4L+4L XXXL Capacity with DualZone Technology & Dual Frying Baskets for Frying, Grilling, Broiling, Roasting, Baking, Toasting & Reheating HFP70.000BK Black",Brand: Kenwood,air fryers,"8,500
                         
                          .",09/01/2023,5.0 out of 5 stars,1 rating,https://www.amazon.eg/-/en/Capacity-DualZone-Technology-Reheating-HFP70-000BK/dp/B09SZK8BTP/ref=sr_1_30?qid=1673219323&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-30
Dsp Air Health Fryer 1800w 5 L kb2031 black,Brand: DSP,air fryers,"3,950
                         
                          .",09/01/2023,4.0 out of 5 stars,1 rating,https://www.amazon.eg/-/en/Health-Fryer-1800w-kb2031-black/dp/B096MVDZYX/ref=sr_1_31?qid=1673219323&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-31
"Nutricook Air Fryer 2, 1700 Watts, Digital Control Panel Display, 10 Preset Programs with built-in Preheat function, 5.5 Liters, Black",Brand: Generic,air fryers,"5,550
                         
                          .",09/01/2023,4.6 out of 5 stars,8 ratings,https://www.amazon.eg/-/en/Nutricook-Digital-Programs-function-Black/dp/B0B2N5Z546/ref=sr_1_32?qid=1673219323&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-32
"Jinjiader 7 Inch Air Fryer Silicone Liners, 1 Pack Reusable Round Air Fryer Silicone Pot Non-Stick Air Fryer Accessories, Air Fryer Basket Dishwasher Safe Baking Roasting Oven Microwave (Pink)",Brand: Jinjiader,air fryers,"159
                         
                          .",09/01/2023,4.5 out of 5 stars,2 ratings,https://www.amazon.eg/-/en/Jinjiader-Non-Stick-Accessories-Dishwasher-Microwave/dp/B0B9GNYJZN/ref=sr_1_33?qid=1673219325&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-33
"Black & Decker AF700 Digital Air Fryer, 4.3L, Black",Brand: Generic,air fryers,"6,600
                         
                          .",09/01/2023,5.0 out of 5 stars,4 ratings,https://www.amazon.eg/-/en/Black-Decker-AF700-Digital-Fryer/dp/B09S18BFPH/ref=sr_1_34?qid=1673219325&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-34
Philips Airfryer HD9650/90 Premium XXL black,Brand: PHILIPS,air fryers,"14,999
                         
                          .",09/01/2023,4.5 out of 5 stars,104 ratings,https://www.amazon.eg/-/en/Philips-Airfryer-HD9650-90-Premium/dp/B0767DNSMH/ref=sr_1_35?qid=1673219325&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-35
Dsp Air Health Fryer 1800w 5 L kb2031 black,Brand: DSP,air fryers,"3,950
                         
                          .",09/01/2023,4.0 out of 5 stars,1 rating,https://www.amazon.eg/Health-Fryer-1800w-kb2031-black/dp/B096MVDZYX/ref=sr_1_36?qid=1673219325&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-36
"Sonai SH-411 Super Air Fryer, 5.5 Liters - White",Brand: Sonai,air fryers,"5,199
                             
                              .",09/01/2023,4.8 out of 5 stars,18 ratings,https://www.amazon.eg/Sonai-SH-411-Super-Fryer-Liters/dp/B091J8VSHX/ref=sr_1_37?qid=1673219325&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-37
"Philips Airfryer Essential XL Connected, 5 Portions, 6.2L Capacity, Wifi Connected (NutriU App), Alexa Compatible, Digital Display, 7 Presets, Black, HD9280/91,International warranty",Brand: Philips Domestic Appliances,air fryers,"7,552
                             
                              .",09/01/2023,5.0 out of 5 stars,8 ratings,https://www.amazon.eg/-/en/Philips-Compatible-HD9280-91-International/dp/B09GRL544S/ref=sr_1_38?qid=1673219325&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-38
"Sonai SH-411 Super Air Fryer, 5.5 Liters - Black",Brand: Sonai,air fryers,"5,199
                        
                         .",09/01/2023,4.3 out of 5 stars,61 ratings,https://www.amazon.eg/-/en/Sonai-SH-411-Super-Fryer-Liters/dp/B091NXBH55/ref=sr_1_39?qid=1673219325&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-39
Caso 3172 AF 200 Hot Air Fryer Black 1400w 6 Automatic Programs Genuine,Brand: Caso,air fryers,"3,650
                         
                          .",09/01/2023,4.2 out of 5 stars,45 ratings,https://www.amazon.eg/-/en/Caso-3172-Automatic-Programs-Genuine/dp/B00YPPK68M/ref=sr_1_40?qid=1673219325&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-40
Philips DAILY COLLECTION AIRFRYER HD9218 ( International Warranty ),Brand: PHILIPS,air fryers,"6,599
                         
                          .",09/01/2023,4.3 out of 5 stars,55 ratings,https://www.amazon.eg/-/en/COLLECTION-AIRFRYER-HD9218-International-Warranty/dp/B07PQDHBJG/ref=sr_1_41?qid=1673219325&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-41
Philips Essential Airfryer HD9252/21 White (international warranty),Brand: PHILIPS,air fryers,"6,999
                        
                         .",09/01/2023,4.0 out of 5 stars,1 rating,https://www.amazon.eg/-/en/Essential-Airfryer-HD9252-21-international/dp/B09MPC9NGD/ref=sr_1_42?qid=1673219325&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-42
"PHILIPS Airfrer XXL Premium HD9863/91,1.4Kg, Black, 2 Years Warranty UAE Version",Brand: PHILIPS,air fryers,"11,111
                             
                              .",09/01/2023,4.8 out of 5 stars,36 ratings,https://www.amazon.eg/-/en/PHILIPS-Airfrer-HD9863-91-Warranty/dp/B09PNF7F6W/ref=sr_1_43?qid=1673219325&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-43
"Air fryer Disposable Paper, Non-stick Air Fryer Liners Cooking Paper, Baking Paper for Air Fryer Oil-proof and Water-proof, Food Grade Parchment for Baking Roasting Microwave (6.5)",Brand: YOMA,air fryers,"229
                         
                          .",09/01/2023,5.0 out of 5 stars,1 rating,https://www.amazon.eg/-/en/Disposable-Non-stick-Oil-proof-Water-proof-Parchment/dp/B09PNFWRZX/ref=sr_1_44?qid=1673219325&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-44
"CASO AF 255 Hot Air Fryer 3 L, Includes Grill Grate | 1 kg, 60-200°C, Powerful 1400 W, No Grease, Stainless Steel Interior, Black",Brand: Caso,air fryers,"3,500
                        
                         .",09/01/2023,4.0 out of 5 stars,35 ratings,https://www.amazon.eg/-/en/60-200%C2%B0C-Powerful-Grease-Stainless-Interior/dp/B088V71LRB/ref=sr_1_45?qid=1673219325&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-45
"Philips Premium XXL Airfryer - 7.3 Litres, 2225 W, Fat Removal Technology, Recipes (NutriU App), Keep Warm Function, Extra Large Size for the Entire Family - HD9650/99 (International Warranty)",Brand: PHILIPS,air fryers,"11,111
                             
                              .",09/01/2023,4.6 out of 5 stars,2 ratings,https://www.amazon.eg/-/en/Philips-Premium-XXL-Airfryer-International/dp/B077ZFCZT3/ref=sr_1_46?qid=1673219325&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-46
"De'Longhi Multifryer Idealfry, White, Fh2101.W - International warranty",Brand: DeLonghi,air fryers,"7,999
                         
                          .",09/01/2023,4.5 out of 5 stars,140 ratings,https://www.amazon.eg/DeLonghi-Multifryer-Idealfry-White-Fh2101-W/dp/B07JVBRF3X/ref=sr_1_47?qid=1673219325&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-47
"Black & Decker Digital AF700-B5 Pan - Black, 5.3L",Brand: Generic,air fryers,"7,900
                         
                          .",09/01/2023,5.0 out of 5 stars,2 ratings,https://www.amazon.eg/-/en/Black-Decker-Digital-AF700-B5-Pan/dp/B0B1B64D1R/ref=sr_1_48?qid=1673219325&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-48
"Mienta AF47234A Air Fryer, 5.5 Liters, 1700 Watt, Black",Brand: Mienta,air fryers,"5,599
                             
                              .",09/01/2023,4.7 out of 5 stars,6 ratings,https://www.amazon.eg/-/en/Mienta-AF47234A-Fryer-Liters-Black/dp/B09GKSSH91/ref=sr_1_49?qid=1673219327&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-49
"Arshia Af116-1788 Air Fryer""Min 1 year manufacturer warranty""",Brand: Arshia,air fryers,"6,500
                        
                         .",09/01/2023,5.0 out of 5 stars,1 rating,https://www.amazon.eg/Arshia-Af116-1788-Fryer-manufacturer-warranty/dp/B07M81K1RQ/ref=sr_1_50?qid=1673219327&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-50
"Ninja Foodi 5-in-1 Indoor Grill with Air Fry, Roast, Bake & Dehydrate (AG302), Black and Silver",Brand: Ninja,air fryers,"12,500
                             
                              .",09/01/2023,4.8 out of 5 stars,"22,903 ratings",https://www.amazon.eg/-/en/Ninja-Foodi-Indoor-Dehydrate-Silver/dp/B07S76WBGF/ref=sr_1_51?qid=1673219327&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-51
