title,brand,category,price,date,rating,num_of_ratings,link
"KENWOOD Digital Twin Air Fryer 1.7KG+1.7KG 4L+4L XXXL Capacity with DualZone Technology & Dual Frying Baskets for Frying, Grilling, Broiling, Roasting, Baking, Toasting & Reheating HFP70.000BK Black",Kenwood,air fryers,8500.0,2023-01-09,5.0,1,https://www.amazon.eg/-/en/Capacity-DualZone-Technology-Reheating-HFP70-000BK/dp/B09SZK8BTP/ref=sr_1_30?qid=1673219323&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-30
Dsp Air Health Fryer 1800w 5 L kb2031 black,DSP,air fryers,3950.0,2023-01-09,4.0,1,https://www.amazon.eg/-/en/Health-Fryer-1800w-kb2031-black/dp/B096MVDZYX/ref=sr_1_31?qid=1673219323&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-31
"Nutricook Air Fryer 2, 1700 Watts, Digital Control Panel Display, 10 Preset Programs with built-in Preheat function, 5.5 Liters, Black",Generic,air fryers,5550.0,2023-01-09,4.6,8,https://www.amazon.eg/-/en/Nutricook-Digital-Programs-function-Black/dp/B0B2N5Z546/ref=sr_1_32?qid=1673219323&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-32
"Jinjiader 7 Inch Air Fryer Silicone Liners, 1 Pack Reusable Round Air Fryer Silicone Pot Non-Stick Air Fryer Accessories, Air Fryer Basket Dishwasher Safe Baking Roasting Oven Microwave (Pink)",Jinjiader,air fryers,159.0,2023-01-09,4.5,2,https://www.amazon.eg/-/en/Jinjiader-Non-Stick-Accessories-Dishwasher-Microwave/dp/B0B9GNYJZN/ref=sr_1_33?qid=1673219325&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-33
"Black & Decker AF700 Digital Air Fryer, 4.3L, Black",Generic,air fryers,6600.0,2023-01-09,5.0,4,https://www.amazon.eg/-/en/Black-Decker-AF700-Digital-Fryer/dp/B09S18BFPH/ref=sr_1_34?qid=1673219325&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-34
Philips Airfryer HD9650/90 Premium XXL black,PHILIPS,air fryers,14999.0,2023-01-09,4.5,104,https://www.amazon.eg/-/en/Philips-Airfryer-HD9650-90-Premium/dp/B0767DNSMH/ref=sr_1_35?qid=1673219325&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-35
Dsp Air Health Fryer 1800w 5 L kb2031 black,DSP,air fryers,3950.0,2023-01-09,4.0,1,https://www.amazon.eg/Health-Fryer-1800w-kb2031-black/dp/B096MVDZYX/ref=sr_1_36?qid=1673219325&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-36
"Sonai SH-411 Super Air Fryer, 5.5 Liters - White",Sonai,air fryers,5199.0,2023-01-09,4.8,18,https://www.amazon.eg/Sonai-SH-411-Super-Fryer-Liters/dp/B091J8VSHX/ref=sr_1_37?qid=1673219325&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-37
"Philips Airfryer Essential XL Connected, 5 Portions, 6.2L Capacity, Wifi Connected (NutriU App), Alexa Compatible, Digital Display, 7 Presets, Black, HD9280/91,International warranty",PHILIPS,air fryers,7552.0,2023-01-09,5.0,8,https://www.amazon.eg/-/en/Philips-Compatible-HD9280-91-International/dp/B09GRL544S/ref=sr_1_38?qid=1673219325&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-38
"Sonai SH-411 Super Air Fryer, 5.5 Liters - Black",Sonai,air fryers,5199.0,2023-01-09,4.3,61,https://www.amazon.eg/-/en/Sonai-SH-411-Super-Fryer-Liters/dp/B091NXBH55/ref=sr_1_39?qid=1673219325&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-39
